"last_name, first_name","player_id","year","b_ab","b_pa","b_hit","b_single","b_double","b_triple","b_home_run","b_strikeout","b_walk","b_k_percent","b_bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","xba","xslg","xobp","xwoba","xiso","b_rbi","b_hit_by_pitch","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Brennan, Will",686823,2025,,,,,,,,,,,,".091",".091",".231","0.322","0.000",".100",".097",".151",".236",".199",".054","0","1","82.2","8.2",0,0
"Heineman, Tyler",623168,2025,,,,,,,,,,,,".289",".416",".361","0.777","0.127",".342",".215",".293",".298",".273",".079","20","6","84.4","19.1",31.2,3.2
"Meadows, Parker",678009,2025,,,,,,,,,,,,".215",".330",".291","0.621","0.115",".280",".225",".346",".303",".291",".122","16","0","86.9","12.5",36,5.2
"Beck, Jordan",687597,2025,,,,,,,,,,,,".258",".416",".317","0.733","0.158",".351",".231",".395",".293",".301",".164","53","4","87.4","12.8",36.9,9.6
"Clemens, Kody",665019,2025,,,,,,,,,,,,".213",".434",".281","0.715","0.221",".231",".243",".465",".309",".331",".223","52","5","91.5","16.7",35.9,12
"Short, Zack",670097,2025,,,,,,,,,,,,".220",".380",".291","0.671","0.160",".300",".175",".281",".250",".241",".105","7","1","86.2","20.9",18.2,3
"Meidroth, Chase",805367,2025,,,,,,,,,,,,".253",".320",".329","0.649","0.067",".291",".254",".333",".330",".300",".080","23","6","88.2","6.7",26.2,1.6
"Jones, Jahmai",663330,2025,,,,,,,,,,,,".287",".550",".387","0.937","0.263",".333",".291",".547",".390",".399",".257","23","3","91.5","20",38.1,13.4
"O'Hoppe, Logan",681351,2025,,,,,,,,,,,,".213",".371",".258","0.629","0.158",".267",".228",".425",".273",".301",".197","43","2","90.9","17.3",33.6,13.3
"Ruiz, Esteury",665923,2025,,,,,,,,,,,,".190",".333",".261","0.594","0.143",".250",".162",".330",".235",".249",".168","2","0","81.5","9",15.4,7.7
"Johnson, Bryce",669369,2025,,,,,,,,,,,,".342",".434",".383","0.817","0.092",".446",".298",".406",".342",".328",".107","8","2","88.4","9",45,5
"Sosa, Lenyn",672820,2025,,,,,,,,,,,,".264",".434",".293","0.727","0.170",".309",".263",".467",".293",".326",".204","75","4","90.7","18.4",39.2,10.4
"Canario, Alexander",672744,2025,,,,,,,,,,,,".218",".338",".274","0.612","0.120",".313",".219",".407",".275",".295",".188","20","0","87.4","10.5",35.8,12.4
"De La Cruz, Bryan",650559,2025,,,,,,,,,,,,".191",".213",".240","0.453","0.022",".310",".201",".308",".249",".245",".107","0","0","91.5","15.6",44.8,6.9
"Veen, Zac",691728,2025,,,,,,,,,,,,".118",".235",".189","0.424","0.117",".158",".123",".214",".194",".188",".091","2","1","90.2","18.3",30,5
"Davis, Henry",680779,2025,,,,,,,,,,,,".167",".278",".234","0.512","0.111",".203",".213",".389",".279",".293",".176","22","5","88.6","23.3",33,11.5
"Encarnacion-Strand, Christian",687952,2025,,,,,,,,,,,,".208",".377",".234","0.611","0.169",".223",".207",".408",".235",".275",".201","19","2","87.9","21",29,9
"Barnes, Austin",605131,2025,,,,,,,,,,,,".214",".286",".233","0.519","0.072",".321",".227",".303",".245",".240",".076","2","0","80.9","4.2",34.5,3.4
"Farmer, Kyle",571657,2025,,,,,,,,,,,,".227",".365",".280","0.645","0.138",".268",".228",".353",".284",".285",".126","31","4","87","15.3",37.6,6.2
